Task,Course,Due Date,Type
M324 Lec @1/10,MATH 324,2022-01-10,Class
M324 Lec @1/12,MATH 324,2022-01-12,Class
M324 Lec @1/14,MATH 324,2022-01-14,Class
M324 Lec @1/17,MATH 324,2022-01-17,Class
M324 Lec @1/19,MATH 324,2022-01-19,Class
M324 Lec @1/21,MATH 324,2022-01-21,Class
M324 Lec @1/24,MATH 324,2022-01-24,Class
M324 Lec @1/26,MATH 324,2022-01-26,Class
M324 Lec @1/28,MATH 324,2022-01-28,Class
M324 Lec @1/31,MATH 324,2022-01-31,Class
M324 Lec @2/2,MATH 324,2022-02-02,Class
M324 Lec @2/4,MATH 324,2022-02-04,Class
M324 Lec @2/7,MATH 324,2022-02-07,Class
M324 Lec @2/9,MATH 324,2022-02-09,Class
M324 Lec @2/11,MATH 324,2022-02-11,Class
M324 Lec @2/14,MATH 324,2022-02-14,Class
M324 Lec @2/16,MATH 324,2022-02-16,Class
M324 Lec @2/18,MATH 324,2022-02-18,Class
M324 Lec @2/21,MATH 324,2022-02-21,Class
M324 Lec @2/23,MATH 324,2022-02-23,Class
M324 Lec @2/25,MATH 324,2022-02-25,Class
M324 Lec @2/28,MATH 324,2022-02-28,Class
M324 Lec @3/2,MATH 324,2022-03-02,Class
M324 Lec @3/4,MATH 324,2022-03-04,Class
M324 Lec @3/7,MATH 324,2022-03-07,Class
M324 Lec @3/9,MATH 324,2022-03-09,Class
M324 Lec @3/11,MATH 324,2022-03-11,Class
M324 Lec @3/14,MATH 324,2022-03-14,Class
M324 Lec @3/16,MATH 324,2022-03-16,Class
M324 Lec @3/18,MATH 324,2022-03-18,Class
M324 Lec @3/21,MATH 324,2022-03-21,Class
M324 Lec @3/23,MATH 324,2022-03-23,Class
M324 Lec @3/25,MATH 324,2022-03-25,Class
M324 Lec @3/28,MATH 324,2022-03-28,Class
M324 Lec @3/30,MATH 324,2022-03-30,Class
M324 Lec @4/1,MATH 324,2022-04-01,Class
M324 Lec @4/4,MATH 324,2022-04-04,Class
M324 Lec @4/6,MATH 324,2022-04-06,Class
M324 Lec @4/8,MATH 324,2022-04-08,Class
M324 Lec @4/11,MATH 324,2022-04-11,Class
M324 Lec @4/13,MATH 324,2022-04-13,Class
C310 Lec @1/10,COMP 310,2022-01-10,Class
C310 Lec @1/12,COMP 310,2022-01-12,Class
C310 Lec @1/14,COMP 310,2022-01-14,Class
C310 Lec @1/17,COMP 310,2022-01-17,Class
C310 Lec @1/19,COMP 310,2022-01-19,Class
C310 Lec @1/21,COMP 310,2022-01-21,Class
C310 Lec @1/24,COMP 310,2022-01-24,Class
C310 Lec @1/26,COMP 310,2022-01-26,Class
C310 Lec @1/28,COMP 310,2022-01-28,Class
C310 Lec @1/31,COMP 310,2022-01-31,Class
C310 Lec @2/2,COMP 310,2022-02-02,Class
C310 Lec @2/4,COMP 310,2022-02-04,Class
C310 Lec @2/7,COMP 310,2022-02-07,Class
C310 Lec @2/9,COMP 310,2022-02-09,Class
C310 Lec @2/11,COMP 310,2022-02-11,Class
C310 Lec @2/14,COMP 310,2022-02-14,Class
C310 Lec @2/16,COMP 310,2022-02-16,Class
C310 Lec @2/18,COMP 310,2022-02-18,Class
C310 Lec @2/21,COMP 310,2022-02-21,Class
C310 Lec @2/23,COMP 310,2022-02-23,Class
C310 Lec @2/25,COMP 310,2022-02-25,Class
C310 Lec @2/28,COMP 310,2022-02-28,Class
C310 Lec @3/2,COMP 310,2022-03-02,Class
C310 Lec @3/4,COMP 310,2022-03-04,Class
C310 Lec @3/7,COMP 310,2022-03-07,Class
C310 Lec @3/9,COMP 310,2022-03-09,Class
C310 Lec @3/11,COMP 310,2022-03-11,Class
C310 Lec @3/14,COMP 310,2022-03-14,Class
C310 Lec @3/16,COMP 310,2022-03-16,Class
C310 Lec @3/18,COMP 310,2022-03-18,Class
C310 Lec @3/21,COMP 310,2022-03-21,Class
C310 Lec @3/23,COMP 310,2022-03-23,Class
C310 Lec @3/25,COMP 310,2022-03-25,Class
C310 Lec @3/28,COMP 310,2022-03-28,Class
C310 Lec @3/30,COMP 310,2022-03-30,Class
C310 Lec @4/1,COMP 310,2022-04-01,Class
C310 Lec @4/4,COMP 310,2022-04-04,Class
C310 Lec @4/6,COMP 310,2022-04-06,Class
C310 Lec @4/8,COMP 310,2022-04-08,Class
C310 Lec @4/11,COMP 310,2022-04-11,Class
C303 Lec @1/10,COMP 303,2022-01-10,Class
C303 Lec @1/12,COMP 303,2022-01-12,Class
C303 Lec @1/17,COMP 303,2022-01-17,Class
C303 Lec @1/19,COMP 303,2022-01-19,Class
C303 Lec @1/24,COMP 303,2022-01-24,Class
C303 Lec @1/26,COMP 303,2022-01-26,Class
C303 Lec @1/31,COMP 303,2022-01-31,Class
